window_lo,window_hi,n_alive,canonical_id,name,ego_size,density,effective_size,constraint,hierarchy,degree,all_dyadic_constraint,most_constraining_alter,alter_dyadic_constraint,structural_keystone,keystone_sensitivity,all_keystone_sensitivity,z_density,z_effective_size,z_constraint,z_hierarchy,null_mean_density,null_mean_effective_size,null_mean_constraint,null_mean_hierarchy,jaccard_with_victim,victim_betweenness,bridging_gap
21071,32904,8,0,Lawrence John Wargrave,0,0.0,,,,0,,,,,,,,,,,,,,,0.0,0.0,0.5714
21071,32904,8,1,Vera Elizabeth Claythorne,3,0.0,3.0,0.3333,0.3636,3,"{""Lawrence John Wargrave"": 0.008264, ""Emily Brent"": 0.297521, ""John Gordon Macarthur"": 0.132231}",Emily Brent,0.2975,Lawrence John Wargrave,0.1667,"{""Lawrence John Wargrave"": 0.166667, ""Emily Brent"": 0.166667, ""John Gordon Macarthur"": 0.166667}",,,,,0.0,3.0,0.333333,0.0,0.0,0.0897,-0.1429
21071,32904,8,2,Philip Lombard,4,0.5,2.5,0.5833,0.3375,4,"{""Edward George Armstrong"": 0.731781, ""William Henry Blore"": 0.454603, ""Anthony James Marston"": 0.005102, ""Ethel Rogers"": 0.107229}",Edward George Armstrong,0.7318,Anthony James Marston,0.3426,"{""Edward George Armstrong"": 0.027778, ""William Henry Blore"": 0.027778, ""Anthony James Marston"": 0.342593, ""Ethel Rogers"": 0.027778}",,,-1.7504,1.5236,0.5,2.5,0.639121,0.144357,0.0,0.1538,-0.7143
21071,32904,8,3,Edward George Armstrong,7,0.3333,5.0,0.3763,0.2032,7,"{""Philip Lombard"": 0.153403, ""Lawrence John Wargrave"": 0.001111, ""William Henry Blore"": 0.199298, ""Emily Brent"": 0.011736, ""John Gordon Macarthur"": 0.027778, ""Thomas Rogers"": 0.2025, ""Ethel Rogers"": 0.137076}",Thomas Rogers,0.2025,Lawrence John Wargrave,0.1081,"{""Philip Lombard"": 0.041741, ""Lawrence John Wargrave"": 0.108099, ""William Henry Blore"": 0.023995, ""Emily Brent"": 0.057366, ""John Gordon Macarthur"": 0.03634, ""Thomas Rogers"": 0.007641, ""Ethel Rogers"": 0.014157}",,,-1.1276,1.3926,0.333333,5.0,0.393645,0.109788,0.0,0.2564,-0.1429
21071,32904,8,4,William Henry Blore,4,0.6667,2.0,0.7044,0.3583,4,"{""Philip Lombard"": 0.407399, ""Edward George Armstrong"": 0.859089, ""John Gordon Macarthur"": 0.018868, ""Ethel Rogers"": 0.088499}",Edward George Armstrong,0.8591,John Gordon Macarthur,0.2215,"{""Philip Lombard"": 0.135079, ""Edward George Armstrong"": 0.093316, ""John Gordon Macarthur"": 0.221499, ""Ethel Rogers"": 0.135079}",,,0.5093,4.9283,0.666667,2.0,0.702371,0.10207,0.0,0.1667,-0.5714
21071,32904,8,5,Emily Brent,2,0.0,2.0,0.5,0.531,2,"{""Vera Elizabeth Claythorne"": 0.5625, ""Beatrice Taylor"": 0.0625}",Vera Elizabeth Claythorne,0.5625,Vera Elizabeth Claythorne,0.5,"{""Vera Elizabeth Claythorne"": 0.5, ""Beatrice Taylor"": 0.5}",,,,,0.0,2.0,0.5,0.0,0.25,0.0769,0.0
21071,32904,8,6,John Gordon Macarthur,3,0.0,3.0,0.3333,0.3636,3,"{""Vera Elizabeth Claythorne"": 0.132231, ""Arthur Richmond"": 0.008264, ""Leslie Macarthur"": 0.297521}",Leslie Macarthur,0.2975,Vera Elizabeth Claythorne,0.1667,"{""Vera Elizabeth Claythorne"": 0.166667, ""Arthur Richmond"": 0.166667, ""Leslie Macarthur"": 0.166667}",,,,,0.0,3.0,0.333333,0.0,,,0.5714
21071,32904,8,8,Thomas Rogers,5,0.5,3.0,0.5619,0.3499,5,"{""Edward George Armstrong"": 0.671954, ""Vera Elizabeth Claythorne"": 0.032498, ""Emily Brent"": 0.037886, ""John Gordon Macarthur"": 0.067972, ""Ethel Rogers"": 0.296636}",Edward George Armstrong,0.672,Ethel Rogers,0.1325,"{""Edward George Armstrong"": 0.027222, ""Vera Elizabeth Claythorne"": 0.121649, ""Emily Brent"": 0.080417, ""John Gordon Macarthur"": 0.080417, ""Ethel Rogers"": 0.1325}",,,0.2455,3.1133,0.5,3.0,0.557311,0.10861,0.1429,0.1026,0.2857
