window_lo,window_hi,n_alive,canonical_id,name,ego_size,density,effective_size,constraint,hierarchy,degree,all_dyadic_constraint,most_constraining_alter,alter_dyadic_constraint,structural_keystone,keystone_sensitivity,all_keystone_sensitivity,z_density,z_effective_size,z_constraint,z_hierarchy,null_mean_density,null_mean_effective_size,null_mean_constraint,null_mean_hierarchy,jaccard_with_victim,victim_betweenness,bridging_gap
50821,58126,4,1,Vera Elizabeth Claythorne,4,0.1667,3.5,0.4062,0.3524,4,"{""Philip Lombard"": 0.468144, ""William Henry Blore"": 0.468144, ""Hugo Hamilton"": 0.044321, ""Cyril Ogilvie Hamilton"": 0.01108}",Philip Lombard,0.4681,Hugo Hamilton,0.2049,"{""Philip Lombard"": 0.072917, ""William Henry Blore"": 0.072917, ""Hugo Hamilton"": 0.204861, ""Cyril Ogilvie Hamilton"": 0.204861}",,,,,0.166667,3.5,0.40625,0.139036,0.1667,0.5,0.0
50821,58126,4,2,Philip Lombard,2,1.0,1.0,1.125,0.0,2,"{""Vera Elizabeth Claythorne"": 1.0, ""William Henry Blore"": 1.0}",Vera Elizabeth Claythorne,1.0,Vera Elizabeth Claythorne,0.125,"{""Vera Elizabeth Claythorne"": 0.125, ""William Henry Blore"": 0.125}",,,,,1.0,1.0,1.125,0.0,0.25,0.0,-1.0
50821,58126,4,3,Edward George Armstrong,1,0.0,1.0,1.0,1.0,1,"{""Vera Elizabeth Claythorne"": 1.0}",Vera Elizabeth Claythorne,1.0,,,{},,,,,,,,,0.3333,0.0,1.0
50821,58126,4,4,William Henry Blore,3,0.6667,1.6667,0.8395,0.3166,3,"{""Vera Elizabeth Claythorne"": 1.0, ""Philip Lombard"": 0.686531, ""Edward George Armstrong"": 0.029388}",Vera Elizabeth Claythorne,1.0,Vera Elizabeth Claythorne,0.3395,"{""Vera Elizabeth Claythorne"": 0.339506, ""Philip Lombard"": 0.285494, ""Edward George Armstrong"": 0.285494}",,,,,0.666667,1.666667,0.839506,0.21031,,,0.0
