window_lo,window_hi,n_alive,canonical_id,name,ego_size,density,effective_size,constraint,hierarchy,degree,all_dyadic_constraint,most_constraining_alter,alter_dyadic_constraint,structural_keystone,keystone_sensitivity,all_keystone_sensitivity,z_density,z_effective_size,z_constraint,z_hierarchy,null_mean_density,null_mean_effective_size,null_mean_constraint,null_mean_hierarchy,jaccard_with_victim,victim_betweenness,bridging_gap
45358,50820,5,0,Lawrence John Wargrave,3,0.3333,2.3333,0.6111,0.2936,3,"{""Vera Elizabeth Claythorne"": 0.694444, ""Philip Lombard"": 0.027778, ""Edward George Armstrong"": 0.694444}",Vera Elizabeth Claythorne,0.6944,Philip Lombard,0.5139,"{""Vera Elizabeth Claythorne"": 0.111111, ""Philip Lombard"": 0.513889, ""Edward George Armstrong"": 0.111111}",,,,,0.333333,2.333333,0.611111,0.121653,,,0.0
45358,50820,5,1,Vera Elizabeth Claythorne,0,0.0,,,,0,,,,,,,,,,,,,,,0.0,0.25,-0.25
45358,50820,5,2,Philip Lombard,0,0.0,,,,0,,,,,,,,,,,,,,,0.0,0.125,0.75
45358,50820,5,3,Edward George Armstrong,2,1.0,1.0,1.125,0.0,2,"{""Lawrence John Wargrave"": 1.0, ""Vera Elizabeth Claythorne"": 1.0}",Lawrence John Wargrave,1.0,Lawrence John Wargrave,0.125,"{""Lawrence John Wargrave"": 0.125, ""Vera Elizabeth Claythorne"": 0.125}",,,,,1.0,1.0,1.125,0.0,0.25,0.125,-0.75
45358,50820,5,4,William Henry Blore,2,0.0,2.0,0.5,0.0,2,"{""Philip Lombard"": 0.25, ""Edward George Armstrong"": 0.25}",Philip Lombard,0.25,Philip Lombard,0.5,"{""Philip Lombard"": 0.5, ""Edward George Armstrong"": 0.5}",,,,,0.0,2.0,0.5,0.0,0.6667,0.0,0.5
